"magpiecell","basincode"
"CIV.826",25018
"CIV.827",25206
"MLI.828",27033
"MLI.829",27033
"MLI.830",27033
"MLI.831",27033
"MLI.832",27033
"MLI.833",27033
"MLI.834",27033
"MLI.835",24946
"MLI.836",24946
"MLI.837",24946
"MRT.838",24860
"MRT.839",24860
"MRT.840",24860
"MRT.841",24860
"MRT.842",25425
"MLI.843",25425
"MLI.844",25425
"MLI.845",25425
"MLI.846",24871
"MLI.847",24871
"MLI.848",24871
"MLI.849",24871
"MLI.850",24871
"MLI.851",25146
"MLI.852",25146
"MLI.853",25146
"MLI.854",25146
"MLI.855",25146
"MLI.856",25146
"MRT.857",24525
"CIV.858",24926
"CIV.859",24926
"CIV.860",25018
"CIV.861",25018
"CIV.862",25018
"CIV.863",25018
"CIV.864",25018
"CIV.865",25018
"CIV.866",25018
"CIV.867",25018
"CIV.868",25206
"BFA.869",25206
"BFA.870",26073
"MLI.871",27033
"MLI.872",27033
"MLI.873",27033
"MLI.874",27033
"MLI.875",27033
"MLI.876",27033
"MLI.877",24946
"MLI.878",24946
"MLI.879",24860
"MLI.880",24860
"MLI.881",24860
"MLI.882",24860
"MLI.883",24860
"MLI.884",25425
"MLI.885",25425
"MLI.886",25425
"MLI.887",25425
"MLI.888",24871
"MLI.889",24871
"MLI.890",24871
"MLI.891",24871
"MLI.892",25146
"MLI.893",25146
"MLI.894",25146
"MLI.895",25146
"MLI.896",25146
"MLI.897",25146
"MRT.898",24966
"CIV.899",25018
"CIV.900",25018
"CIV.901",25018
"CIV.902",25018
"CIV.903",25018
"CIV.904",25018
"CIV.905",25018
"CIV.906",25018
"CIV.907",25018
"CIV.908",25206
"BFA.909",25206
"BFA.910",25206
"BFA.911",26073
"BFA.912",27033
"MLI.913",27033
"MLI.914",27033
"MLI.915",27033
"MLI.916",27033
"MLI.917",27033
"MLI.918",27033
"MLI.919",27033
"MLI.920",27033
"MLI.921",27033
"MLI.922",27033
"MLI.923",27033
"MLI.924",25425
"MLI.925",25425
"MLI.926",25425
"MLI.927",25425
"MLI.928",25425
"MLI.929",25425
"MLI.930",25425
"MLI.931",25425
"MLI.932",25146
"MLI.933",25146
"MLI.934",25146
"MLI.935",25146
"MLI.936",25146
"MLI.937",25146
"MLI.938",25146
"CIV.939",25111
"CIV.940",25111
"CIV.941",25111
"CIV.942",25018
"CIV.943",25018
"CIV.944",25018
"CIV.945",25206
"CIV.946",25206
"CIV.947",25206
"BFA.948",25206
"BFA.949",25206
"BFA.950",26073
"BFA.951",26073
"BFA.952",26073
"BFA.953",26073
"BFA.954",26073
"MLI.955",27033
"MLI.956",27033
"MLI.957",27033
"MLI.958",27033
"MLI.959",27033
"MLI.960",27033
"MLI.961",27033
"MLI.962",27033
"MLI.963",27033
"MLI.964",25425
"MLI.965",25425
"MLI.966",25425
"MLI.967",25425
"MLI.968",25425
"MLI.969",25425
"MLI.970",25425
"MLI.971",25425
"MLI.972",25146
"MLI.973",25146
"MLI.974",25146
"MLI.975",25146
"MLI.976",25146
"MLI.977",25146
"CIV.978",25206
"CIV.979",25206
"CIV.980",25206
"CIV.981",25206
"CIV.982",25206
"CIV.983",25206
"CIV.984",25206
"CIV.985",25206
"CIV.986",25206
"CIV.987",25206
"BFA.988",26073
"BFA.989",26073
"BFA.990",26073
"BFA.991",26073
"BFA.992",26073
"BFA.993",26073
"BFA.994",26073
"MLI.995",27033
"MLI.996",27033
"MLI.997",27033
"MLI.998",27033
"MLI.999",27033
"MLI.1000",27033
"MLI.1001",27033
"MLI.1002",27033
"MLI.1003",25425
"MLI.1004",25425
"MLI.1005",25425
"MLI.1006",25425
"MLI.1007",25425
"MLI.1008",25425
"MLI.1009",25425
"MLI.1010",25425
"MLI.1011",25146
"MLI.1012",25146
"MLI.1013",25146
"MLI.1014",25337
"MLI.1015",25337
"MLI.1016",25146
"CIV.1017",25302
"CIV.1018",25302
"CIV.1019",25302
"CIV.1020",25206
"CIV.1021",25206
"CIV.1022",25206
"CIV.1023",25206
"CIV.1024",26073
"CIV.1025",26073
"CIV.1026",26073
"BFA.1027",26073
"BFA.1028",26073
"BFA.1029",26073
"BFA.1030",26073
"BFA.1031",26073
"BFA.1032",26073
"BFA.1033",26073
"MLI.1034",26073
"MLI.1035",26073
"MLI.1036",27033
"MLI.1037",27033
"MLI.1038",27033
"MLI.1039",27033
"MLI.1040",27033
"MLI.1041",27033
"MLI.1042",25425
"MLI.1043",25425
"MLI.1044",25425
"MLI.1045",25425
"MLI.1046",25425
"MLI.1047",25425
"MLI.1048",25425
"MLI.1049",25425
"MLI.1050",25146
"MLI.1051",25146
"MLI.1052",25337
"MLI.1053",25337
"MLI.1054",25337
"GHA.1055",25400
"GHA.1056",25400
"GHA.1057",25400
"GHA.1058",25302
"GHA.1059",25302
"GHA.1060",26073
"CIV.1061",26073
"CIV.1062",26073
"CIV.1063",26073
"GHA.1064",26073
"GHA.1065",26073
"GHA.1066",26073
"BFA.1067",26073
"BFA.1068",26073
"BFA.1069",26073
"BFA.1070",26073
"BFA.1071",26073
"BFA.1072",26073
"MLI.1073",26073
"MLI.1074",27033
"MLI.1075",27033
"MLI.1076",27033
"MLI.1077",27033
"MLI.1078",27033
"MLI.1079",27033
"MLI.1080",25425
"MLI.1081",25425
"MLI.1082",25425
"MLI.1083",25425
"MLI.1084",25425
"MLI.1085",25425
"MLI.1086",25425
"MLI.1087",25425
"MLI.1088",25146
"MLI.1089",25337
"MLI.1090",25337
"MLI.1091",25337
"GHA.1092",25497
"GHA.1093",25497
"GHA.1094",25497
"GHA.1095",25400
"GHA.1096",25400
"GHA.1097",26073
"GHA.1098",26073
"GHA.1099",26073
"GHA.1100",26073
"GHA.1101",26073
"GHA.1102",26073
"GHA.1103",26073
"BFA.1104",26073
"BFA.1105",26073
"BFA.1106",26073
"BFA.1107",26073
"BFA.1108",26073
"BFA.1109",26073
"BFA.1110",27033
"MLI.1111",27033
"MLI.1112",27033
"MLI.1113",27033
"MLI.1114",27033
"MLI.1115",27033
"MLI.1116",27033
"MLI.1117",25425
"MLI.1118",25425
"MLI.1119",25425
"MLI.1120",25425
"MLI.1121",25425
"MLI.1122",25425
"MLI.1123",25425
"MLI.1124",25425
"MLI.1125",25425
"MLI.1126",25628
"MLI.1127",25337
"MLI.1128",25337
"GHA.1129",25593
"GHA.1130",25593
"GHA.1131",25593
"GHA.1132",25593
"GHA.1133",26073
"GHA.1134",26073
"GHA.1135",26073
"GHA.1136",26073
"GHA.1137",26073
"GHA.1138",26073
"GHA.1139",26073
"GHA.1140",26073
"BFA.1141",26073
"BFA.1142",26073
"BFA.1143",26073
"BFA.1144",26073
"BFA.1145",26073
"BFA.1146",26073
"BFA.1147",27033
"MLI.1148",27033
"MLI.1149",27033
"MLI.1150",27033
"MLI.1151",27033
"MLI.1152",27033
"MLI.1153",27033
"MLI.1154",27033
"MLI.1155",25425
"MLI.1156",25425
"MLI.1157",25425
"MLI.1158",25425
"MLI.1159",25425
"MLI.1160",25425
"MLI.1161",25425
"MLI.1162",25628
"MLI.1163",25628
"MLI.1164",25628
"GHA.1165",25693
"GHA.1166",25593
"GHA.1167",25593
"GHA.1168",25593
"GHA.1169",26073
"GHA.1170",26073
"GHA.1171",26073
"GHA.1172",26073
"GHA.1173",26073
"GHA.1174",26073
"GHA.1175",26073
"GHA.1176",26073
"BFA.1177",26073
"BFA.1178",26073
"BFA.1179",26073
"BFA.1180",26073
"BFA.1181",26073
"BFA.1182",26073
"BFA.1183",27033
"BFA.1184",27033
"MLI.1185",27033
"MLI.1186",27033
"MLI.1187",27033
"MLI.1188",27033
"MLI.1189",27033
"MLI.1190",27033
"MLI.1191",25425
"MLI.1192",25425
"MLI.1193",25425
"MLI.1194",25425
"MLI.1195",25425
"MLI.1196",25425
"MLI.1197",25425
"MLI.1198",25425
"MLI.1199",25628
"GHA.1200",25794
