"cell","IPCC","IPCC_reduced"
"AUS.53474","tropical_dry","tropical_dry"
"AUS.53475","tropical_dry","tropical_dry"
"AUS.53476","tropical_dry","tropical_dry"
"AUS.53477","tropical_dry","tropical_dry"
"AUS.53478","tropical_dry","tropical_dry"
"AUS.53479","tropical_dry","tropical_dry"
"AUS.53480","tropical_dry","tropical_dry"
"AUS.53481","tropical_dry","tropical_dry"
"AUS.53482","tropical_dry","tropical_dry"
"AUS.53483","tropical_dry","tropical_dry"
"AUS.53484","tropical_dry","tropical_dry"
"AUS.53485","tropical_dry","tropical_dry"
"AUS.53486","tropical_dry","tropical_dry"
"AUS.53487","tropical_dry","tropical_dry"
"AUS.53488","tropical_dry","tropical_dry"
"AUS.53489","tropical_dry","tropical_dry"
"AUS.53490","tropical_dry","tropical_dry"
"AUS.53491","tropical_dry","tropical_dry"
"AUS.53492","tropical_dry","tropical_dry"
"AUS.53493","tropical_dry","tropical_dry"
"AUS.53494","tropical_dry","tropical_dry"
"AUS.53495","tropical_dry","tropical_dry"
"AUS.53496","tropical_dry","tropical_dry"
"AUS.53497","tropical_dry","tropical_dry"
"AUS.53498","tropical_dry","tropical_dry"
"AUS.53499","tropical_moist","tropical_moist"
"AUS.53500","tropical_moist","tropical_moist"
"AUS.53501","warm_temperate_dry","temperate_dry"
"AUS.53502","warm_temperate_dry","temperate_dry"
"AUS.53503","warm_temperate_dry","temperate_dry"
"AUS.53504","tropical_dry","tropical_dry"
"AUS.53505","tropical_dry","tropical_dry"
"AUS.53506","tropical_dry","tropical_dry"
"AUS.53507","tropical_dry","tropical_dry"
"AUS.53508","tropical_dry","tropical_dry"
"AUS.53509","tropical_dry","tropical_dry"
"AUS.53510","tropical_dry","tropical_dry"
"AUS.53511","tropical_dry","tropical_dry"
"AUS.53512","tropical_dry","tropical_dry"
"AUS.53513","tropical_dry","tropical_dry"
"AUS.53514","tropical_dry","tropical_dry"
"AUS.53515","tropical_dry","tropical_dry"
"AUS.53516","tropical_dry","tropical_dry"
"AUS.53517","tropical_dry","tropical_dry"
"AUS.53518","tropical_dry","tropical_dry"
"AUS.53519","tropical_dry","tropical_dry"
"AUS.53520","tropical_dry","tropical_dry"
