FAOoriginalItem_fromWebsite,FAOaggregatedItem_fromWebsite,ProductionItem,FoodBalanceItem,k,comment
"221|Almonds, with shell",2551|Nuts and products,"221|Almonds, with shell",2551|Nuts and products,others,
"222|Walnuts, with shell",2551|Nuts and products,"222|Walnuts, with shell",2551|Nuts and products,others,
223|Pistachios,2551|Nuts and products,223|Pistachios,2551|Nuts and products,others,
224|Kola nuts,2551|Nuts and products,224|Kola nuts,2551|Nuts and products,others,
"225|Hazelnuts, with shell",2551|Nuts and products,"225|Hazelnuts, with shell",2551|Nuts and products,others,
226|Areca nuts,2551|Nuts and products,226|Areca nuts,2551|Nuts and products,others,
"234|Nuts, nes",2551|Nuts and products,"234|Nuts, nes",2551|Nuts and products,others,
388|Tomatoes,2601|Tomatoes and products,388|Tomatoes,2601|Tomatoes and products,others,
"403|Onions, dry",2602|Onions,"403|Onions, dry",2602|Onions,others,
358|Cabbages and other brassicas,"2605|Vegetables, Other",358|Cabbages and other brassicas,"2605|Vegetables, Other",others,
366|Artichokes,"2605|Vegetables, Other",366|Artichokes,"2605|Vegetables, Other",others,
367|Asparagus,"2605|Vegetables, Other",367|Asparagus,"2605|Vegetables, Other",others,
372|Lettuce and chicory,"2605|Vegetables, Other",372|Lettuce and chicory,"2605|Vegetables, Other",others,
373|Spinach,"2605|Vegetables, Other",373|Spinach,"2605|Vegetables, Other",others,
378|Cassava leaves,"2605|Vegetables, Other",378|Cassava leaves,"2605|Vegetables, Other",others,
393|Cauliflowers and broccoli,"2605|Vegetables, Other",393|Cauliflowers and broccoli,"2605|Vegetables, Other",others,
"394|Pumpkins, squash and gourds","2605|Vegetables, Other","394|Pumpkins, squash and gourds","2605|Vegetables, Other",others,
397|Cucumbers and gherkins,"2605|Vegetables, Other",397|Cucumbers and gherkins,"2605|Vegetables, Other",others,
399|Eggplants (aubergines),"2605|Vegetables, Other",399|Eggplants (aubergines),"2605|Vegetables, Other",others,
"401|Chillies and peppers, green","2605|Vegetables, Other","401|Chillies and peppers, green","2605|Vegetables, Other",others,
"402|Onions, shallots, green","2605|Vegetables, Other","402|Onions, shallots, green","2605|Vegetables, Other",others,
406|Garlic,"2605|Vegetables, Other",406|Garlic,"2605|Vegetables, Other",others,
"407|Leeks, other alliaceous vegetables","2605|Vegetables, Other","407|Leeks, other alliaceous vegetables","2605|Vegetables, Other",others,
"414|Beans, green","2605|Vegetables, Other","414|Beans, green","2605|Vegetables, Other",others,
"417|Peas, green","2605|Vegetables, Other","417|Peas, green","2605|Vegetables, Other",others,
"420|Vegetables, leguminous nes","2605|Vegetables, Other","420|Vegetables, leguminous nes","2605|Vegetables, Other",others,
423|String beans,"2605|Vegetables, Other",423|String beans,"2605|Vegetables, Other",others,
426|Carrots and turnips,"2605|Vegetables, Other",426|Carrots and turnips,"2605|Vegetables, Other",others,
430|Okra,"2605|Vegetables, Other",430|Okra,"2605|Vegetables, Other",others,
"446|Maize, green","2605|Vegetables, Other","446|Maize, green","2605|Vegetables, Other",others,
449|Mushrooms and truffles,"2605|Vegetables, Other",449|Mushrooms and truffles,"2605|Vegetables, Other",others,
459|Chicory roots,"2605|Vegetables, Other",459|Chicory roots,"2605|Vegetables, Other",others,
461|Carobs,"2605|Vegetables, Other",461|Carobs,"2605|Vegetables, Other",others,
"463|Vegetables, fresh nes","2605|Vegetables, Other","463|Vegetables, fresh nes","2605|Vegetables, Other",others,
567|Watermelons,"2605|Vegetables, Other",567|Watermelons,"2605|Vegetables, Other",others,
"568|Melons, other (inccantaloupes)","2605|Vegetables, Other","568|Melons, other (inccantaloupes)","2605|Vegetables, Other",others,
490|Oranges,"2611|Oranges, Mandarines",490|Oranges,"2611|Oranges, Mandarines",others,
"495|Tangerines, mandarins, clementines, satsumas","2611|Oranges, Mandarines","495|Tangerines, mandarins, clementines, satsumas","2611|Oranges, Mandarines",others,
497|Lemons and limes,"2612|Lemons, Limes and products",497|Lemons and limes,"2612|Lemons, Limes and products",others,
507|Grapefruit (inc pomelos),2613|Grapefruit and products,507|Grapefruit (inc pomelos),2613|Grapefruit and products,others,
"512|Fruit, citrus nes","2614|Citrus, Other","512|Fruit, citrus nes","2614|Citrus, Other",others,
486|Bananas,2615|Bananas,486|Bananas,2615|Bananas,cassav_sp,
489|Plantains,2616|Plantains,489|Plantains,2616|Plantains,cassav_sp,
515|Apples,2617|Apples and products,515|Apples,2617|Apples and products,others,
574|Pineapples,2618|Pineapples and products,574|Pineapples,2618|Pineapples and products,others,
577|Dates,2619|Dates,577|Dates,2619|Dates,others,
560|Grapes,2620|Grapes and products (excl wine),560|Grapes,2620|Grapes and products (excl wine),others,
521|Pears,"2625|Fruits, Other",521|Pears,"2625|Fruits, Other",others,
523|Quinces,"2625|Fruits, Other",523|Quinces,"2625|Fruits, Other",others,
526|Apricots,"2625|Fruits, Other",526|Apricots,"2625|Fruits, Other",others,
"530|Cherries, sour","2625|Fruits, Other","530|Cherries, sour","2625|Fruits, Other",others,
531|Cherries,"2625|Fruits, Other",531|Cherries,"2625|Fruits, Other",others,
534|Peaches and nectarines,"2625|Fruits, Other",534|Peaches and nectarines,"2625|Fruits, Other",others,
536|Plums and sloes,"2625|Fruits, Other",536|Plums and sloes,"2625|Fruits, Other",others,
"541|Fruit, stone nes","2625|Fruits, Other","541|Fruit, stone nes","2625|Fruits, Other",others,
"542|Fruit, pome nes","2625|Fruits, Other","542|Fruit, pome nes","2625|Fruits, Other",others,
544|Strawberries,"2625|Fruits, Other",544|Strawberries,"2625|Fruits, Other",others,
547|Raspberries,"2625|Fruits, Other",547|Raspberries,"2625|Fruits, Other",others,
549|Gooseberries,"2625|Fruits, Other",549|Gooseberries,"2625|Fruits, Other",others,
550|Currants,"2625|Fruits, Other",550|Currants,"2625|Fruits, Other",others,
552|Blueberries,"2625|Fruits, Other",552|Blueberries,"2625|Fruits, Other",others,
554|Cranberries,"2625|Fruits, Other",554|Cranberries,"2625|Fruits, Other",others,
558|Berries nes,"2625|Fruits, Other",558|Berries nes,"2625|Fruits, Other",others,
569|Figs,"2625|Fruits, Other",569|Figs,"2625|Fruits, Other",others,
"571|Mangoes, mangosteens, guavas","2625|Fruits, Other","571|Mangoes, mangosteens, guavas","2625|Fruits, Other",others,
572|Avocados,"2625|Fruits, Other",572|Avocados,"2625|Fruits, Other",others,
587|Persimmons,"2625|Fruits, Other",587|Persimmons,"2625|Fruits, Other",others,
591|Cashewapple,"2625|Fruits, Other",591|Cashewapple,"2625|Fruits, Other",others,
592|Kiwi fruit,"2625|Fruits, Other",592|Kiwi fruit,"2625|Fruits, Other",others,
600|Papayas,"2625|Fruits, Other",600|Papayas,"2625|Fruits, Other",others,
"603|Fruit, tropical fresh nes","2625|Fruits, Other","603|Fruit, tropical fresh nes","2625|Fruits, Other",others,
