Category,CountryA3,Sector
food processing,LIE,Food & Beverages
fuel,LIE,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,LIE,Electrical and Machinery
manufacturing,LIE,Finacial Intermediation and Business Activities
manufacturing,LIE,Metal Products
manufacturing,LIE,Other Manufacturing
manufacturing,LIE,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,LIE,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,LIE,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,LIE,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,LIE,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,LIE,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,LIE,Primary Inputs_Taxes on production D_29
primary non-agricultural products,LIE,Mining and Quarrying
public services,LIE,Public Administration
research,LIE,"Education, Health and Other Services"
services,LIE,Construction
services,LIE,Hotels and Restraurants
services,LIE,Maintenance and Repair
services,LIE,Others
services,LIE,Post and Telecommunications
services,LIE,Private Households
services,LIE,Recycling
transport,LIE,Re-export & Re-import
transport,LIE,Retail Trade
transport,LIE,Transport
transport,LIE,Transport Equipment
transport,LIE,Wholesale Trade
water,LIE,"Electricity, Gas and Water"
wood processing,LIE,Wood and Paper
agriculture,LKA,Agriculture
fishery,LKA,Fishing
food processing,LKA,Food & Beverages
fuel,LKA,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,LKA,Electrical and Machinery
manufacturing,LKA,Finacial Intermediation and Business Activities
manufacturing,LKA,Metal Products
manufacturing,LKA,Other Manufacturing
manufacturing,LKA,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,LKA,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,LKA,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,LKA,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,LKA,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,LKA,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,LKA,Primary Inputs_Taxes on production D_29
primary non-agricultural products,LKA,Mining and Quarrying
public services,LKA,Public Administration
research,LKA,"Education, Health and Other Services"
services,LKA,Construction
services,LKA,Hotels and Restraurants
services,LKA,Maintenance and Repair
services,LKA,Others
services,LKA,Post and Telecommunications
services,LKA,Private Households
services,LKA,Recycling
transport,LKA,Re-export & Re-import
transport,LKA,Retail Trade
transport,LKA,Transport
transport,LKA,Transport Equipment
transport,LKA,Wholesale Trade
water,LKA,"Electricity, Gas and Water"
wood processing,LKA,Wood and Paper
agriculture,LSO,Agriculture
fishery,LSO,Fishing
food processing,LSO,Food & Beverages
fuel,LSO,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,LSO,Electrical and Machinery
manufacturing,LSO,Finacial Intermediation and Business Activities
manufacturing,LSO,Metal Products
manufacturing,LSO,Other Manufacturing
manufacturing,LSO,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,LSO,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,LSO,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,LSO,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,LSO,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,LSO,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,LSO,Primary Inputs_Taxes on production D_29
primary non-agricultural products,LSO,Mining and Quarrying
public services,LSO,Public Administration
research,LSO,"Education, Health and Other Services"
services,LSO,Construction
services,LSO,Hotels and Restraurants
services,LSO,Maintenance and Repair
services,LSO,Others
services,LSO,Post and Telecommunications
services,LSO,Private Households
services,LSO,Recycling
transport,LSO,Re-export & Re-import
transport,LSO,Retail Trade
transport,LSO,Transport
transport,LSO,Transport Equipment
transport,LSO,Wholesale Trade
water,LSO,"Electricity, Gas and Water"
wood processing,LSO,Wood and Paper
agriculture,LTU,"Products of agriculture, hunting and related services"
chemicals,LTU,"Chemicals, chemical products and man-made fibres"
fishery,LTU,Fish and other fishing products; services incidental of fishing
food processing,LTU,Food products and beverages
food processing,LTU,Tobacco products
forestry,LTU,"Products of forestry, logging and related services"
fuel,LTU,Coal and lignite; peat
fuel,LTU,"Coke, refined petroleum products and nuclear fuels"
fuel,LTU,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying
manufacturing,LTU,Computer and related services
manufacturing,LTU,Electrical machinery and apparatus n_e_c_
manufacturing,LTU,"Fabricated metal products, except machinery and equipment"
manufacturing,LTU,Furniture; other manufactured goods n_e_c_
manufacturing,LTU,Machinery and equipment n_e_c_
manufacturing,LTU,"Medical, precision and optical instruments, watches and clocks"
manufacturing,LTU,"Motor vehicles, trailers and semi-trailers"
manufacturing,LTU,Office machinery and computers
manufacturing,LTU,Other non-metallic mineral products
manufacturing,LTU,Printed matter and recorded media
manufacturing,LTU,"Radio, television and communication equipment and apparatus"
manufacturing,LTU,Rubber and plastic products
manufacturing,LTU,Secondary raw materials
manufacturing,LTU,Textiles
Primary Inputs_Compensation of employees D_1,LTU,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,LTU,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,LTU,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,LTU,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,LTU,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,LTU,Primary Inputs_Taxes on production D_29
primary non-agricultural products,LTU,Basic metals
primary non-agricultural products,LTU,Metal ores
primary non-agricultural products,LTU,Other mining and quarrying products
primary non-agricultural products,LTU,Uranium and thorium ores
public services,LTU,Public administration and defence services; compulsory social security services
remaining,LTU,Leather and leather products
remaining,LTU,Wearing apparel; furs
research,LTU,Education services
research,LTU,Research and development services
services,LTU,Air transport services
services,LTU,Construction work
services,LTU,"Financial intermediation services, except insurance and pension funding services"
services,LTU,FISIM
services,LTU,Health and social work services
services,LTU,Hotel and restaurant services
services,LTU,"Insurance and pension funding services, except compulsory social security services"
services,LTU,Membership organisation services n_e_c_
services,LTU,Other business services
services,LTU,Other services
services,LTU,Post and telecommunication services
services,LTU,Private households with employed persons
services,LTU,Real estate services
services,LTU,"Recreational, cultural and sporting services"
services,LTU,Renting services of machinery and equipment without operator and of personal and household goods
services,LTU,Services auxiliary to financial intermediation
services,LTU,"Sewage and refuse disposal services, sanitation and similar services"
transport,LTU,Land transport; transport via pipeline services
transport,LTU,Other transport equipment
transport,LTU,Re-export
transport,LTU,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
transport,LTU,Supporting and auxiliary transport services; travel agency services
transport,LTU,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
transport,LTU,Water transport services
transport,LTU,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles"
water,LTU,"Collected and purified water, distribution services of water"
water,LTU,"Electrical energy, gas, steam and hot water"
wood processing,LTU,"Pulp, paper and paper products"
wood processing,LTU,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
agriculture,LUX,Agriculture
fishery,LUX,Fishing
food processing,LUX,Food & Beverages
fuel,LUX,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,LUX,Electrical and Machinery
manufacturing,LUX,Finacial Intermediation and Business Activities
manufacturing,LUX,Metal Products
manufacturing,LUX,Other Manufacturing
manufacturing,LUX,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,LUX,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,LUX,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,LUX,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,LUX,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,LUX,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,LUX,Primary Inputs_Taxes on production D_29
primary non-agricultural products,LUX,Mining and Quarrying
public services,LUX,Public Administration
research,LUX,"Education, Health and Other Services"
services,LUX,Construction
services,LUX,Hotels and Restraurants
services,LUX,Maintenance and Repair
services,LUX,Others
services,LUX,Post and Telecommunications
services,LUX,Private Households
services,LUX,Recycling
transport,LUX,Re-export & Re-import
transport,LUX,Retail Trade
transport,LUX,Transport
transport,LUX,Transport Equipment
transport,LUX,Wholesale Trade
water,LUX,"Electricity, Gas and Water"
wood processing,LUX,Wood and Paper
agriculture,LVA,"Products of agriculture, hunting and related services"
chemicals,LVA,"Chemicals, chemical products and man-made fibres"
fishery,LVA,Fish and other fishing products; services incidental of fishing
food processing,LVA,Food products and beverages
food processing,LVA,Tobacco products
forestry,LVA,"Products of forestry, logging and related services"
fuel,LVA,Coal and lignite; peat
fuel,LVA,"Coke, refined petroleum products and nuclear fuels"
fuel,LVA,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying
manufacturing,LVA,Computer and related services
manufacturing,LVA,Electrical machinery and apparatus n_e_c_
manufacturing,LVA,"Fabricated metal products, except machinery and equipment"
manufacturing,LVA,Furniture; other manufactured goods n_e_c_
manufacturing,LVA,Machinery and equipment n_e_c_
manufacturing,LVA,"Medical, precision and optical instruments, watches and clocks"
manufacturing,LVA,"Motor vehicles, trailers and semi-trailers"
manufacturing,LVA,Office machinery and computers
manufacturing,LVA,Other non-metallic mineral products
manufacturing,LVA,Printed matter and recorded media
manufacturing,LVA,"Radio, television and communication equipment and apparatus"
manufacturing,LVA,Rubber and plastic products
manufacturing,LVA,Secondary raw materials
manufacturing,LVA,Textiles
Primary Inputs_Compensation of employees D_1,LVA,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,LVA,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,LVA,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,LVA,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,LVA,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,LVA,Primary Inputs_Taxes on production D_29
primary non-agricultural products,LVA,Basic metals
primary non-agricultural products,LVA,Metal ores
primary non-agricultural products,LVA,Other mining and quarrying products
primary non-agricultural products,LVA,Uranium and thorium ores
public services,LVA,Public administration and defence services; compulsory social security services
remaining,LVA,Leather and leather products
remaining,LVA,Wearing apparel; furs
research,LVA,Education services
research,LVA,Research and development services
services,LVA,Air transport services
services,LVA,Construction work
services,LVA,"Financial intermediation services, except insurance and pension funding services"
services,LVA,FISIM
services,LVA,Health and social work services
services,LVA,Hotel and restaurant services
services,LVA,"Insurance and pension funding services, except compulsory social security services"
services,LVA,Membership organisation services n_e_c_
services,LVA,Other business services
services,LVA,Other services
services,LVA,Post and telecommunication services
services,LVA,Private households with employed persons
services,LVA,Real estate services
services,LVA,"Recreational, cultural and sporting services"
services,LVA,Renting services of machinery and equipment without operator and of personal and household goods
services,LVA,Services auxiliary to financial intermediation
services,LVA,"Sewage and refuse disposal services, sanitation and similar services"
transport,LVA,Land transport; transport via pipeline services
transport,LVA,Other transport equipment
transport,LVA,Re-export
transport,LVA,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
transport,LVA,Supporting and auxiliary transport services; travel agency services
transport,LVA,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
transport,LVA,Water transport services
transport,LVA,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles"
water,LVA,"Collected and purified water, distribution services of water"
water,LVA,"Electrical energy, gas, steam and hot water"
wood processing,LVA,"Pulp, paper and paper products"
wood processing,LVA,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
agriculture,MAC,Agriculture
fishery,MAC,Fishing
food processing,MAC,Food & Beverages
fuel,MAC,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MAC,Electrical and Machinery
manufacturing,MAC,Finacial Intermediation and Business Activities
manufacturing,MAC,Metal Products
manufacturing,MAC,Other Manufacturing
manufacturing,MAC,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MAC,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MAC,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MAC,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MAC,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MAC,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MAC,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MAC,Mining and Quarrying
public services,MAC,Public Administration
research,MAC,"Education, Health and Other Services"
services,MAC,Construction
services,MAC,Hotels and Restraurants
services,MAC,Maintenance and Repair
services,MAC,Others
services,MAC,Post and Telecommunications
services,MAC,Private Households
services,MAC,Recycling
transport,MAC,Re-export & Re-import
transport,MAC,Retail Trade
transport,MAC,Transport
transport,MAC,Transport Equipment
transport,MAC,Wholesale Trade
water,MAC,"Electricity, Gas and Water"
wood processing,MAC,Wood and Paper
agriculture,MAR,Agriculture
fishery,MAR,Fishing
food processing,MAR,Food & Beverages
fuel,MAR,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MAR,Electrical and Machinery
manufacturing,MAR,Finacial Intermediation and Business Activities
manufacturing,MAR,Metal Products
manufacturing,MAR,Other Manufacturing
manufacturing,MAR,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MAR,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MAR,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MAR,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MAR,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MAR,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MAR,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MAR,Mining and Quarrying
public services,MAR,Public Administration
research,MAR,"Education, Health and Other Services"
services,MAR,Construction
services,MAR,Hotels and Restraurants
services,MAR,Maintenance and Repair
services,MAR,Others
services,MAR,Post and Telecommunications
services,MAR,Private Households
services,MAR,Recycling
transport,MAR,Re-export & Re-import
transport,MAR,Retail Trade
transport,MAR,Transport
transport,MAR,Transport Equipment
transport,MAR,Wholesale Trade
water,MAR,"Electricity, Gas and Water"
wood processing,MAR,Wood and Paper
agriculture,MCO,Agriculture
fishery,MCO,Fishing
food processing,MCO,Food & Beverages
fuel,MCO,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MCO,Electrical and Machinery
manufacturing,MCO,Finacial Intermediation and Business Activities
manufacturing,MCO,Metal Products
manufacturing,MCO,Other Manufacturing
manufacturing,MCO,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MCO,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MCO,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MCO,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MCO,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MCO,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MCO,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MCO,Mining and Quarrying
public services,MCO,Public Administration
research,MCO,"Education, Health and Other Services"
services,MCO,Construction
services,MCO,Hotels and Restraurants
services,MCO,Maintenance and Repair
services,MCO,Others
services,MCO,Post and Telecommunications
services,MCO,Private Households
services,MCO,Recycling
transport,MCO,Re-export & Re-import
transport,MCO,Retail Trade
transport,MCO,Transport
transport,MCO,Transport Equipment
transport,MCO,Wholesale Trade
water,MCO,"Electricity, Gas and Water"
wood processing,MCO,Wood and Paper
agriculture,MDA,Agriculture
fishery,MDA,Fishing
food processing,MDA,Food & Beverages
fuel,MDA,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MDA,Electrical and Machinery
manufacturing,MDA,Finacial Intermediation and Business Activities
manufacturing,MDA,Metal Products
manufacturing,MDA,Other Manufacturing
manufacturing,MDA,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MDA,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MDA,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MDA,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MDA,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MDA,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MDA,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MDA,Mining and Quarrying
public services,MDA,Public Administration
research,MDA,"Education, Health and Other Services"
services,MDA,Construction
services,MDA,Hotels and Restraurants
services,MDA,Maintenance and Repair
services,MDA,Others
services,MDA,Post and Telecommunications
services,MDA,Private Households
services,MDA,Recycling
transport,MDA,Re-export & Re-import
transport,MDA,Retail Trade
transport,MDA,Transport
transport,MDA,Transport Equipment
transport,MDA,Wholesale Trade
water,MDA,"Electricity, Gas and Water"
wood processing,MDA,Wood and Paper
agriculture,MDG,Agriculture
fishery,MDG,Fishing
food processing,MDG,Food & Beverages
fuel,MDG,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MDG,Electrical and Machinery
manufacturing,MDG,Finacial Intermediation and Business Activities
manufacturing,MDG,Metal Products
manufacturing,MDG,Other Manufacturing
manufacturing,MDG,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MDG,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MDG,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MDG,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MDG,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MDG,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MDG,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MDG,Mining and Quarrying
public services,MDG,Public Administration
research,MDG,"Education, Health and Other Services"
services,MDG,Construction
services,MDG,Hotels and Restraurants
services,MDG,Maintenance and Repair
services,MDG,Others
services,MDG,Post and Telecommunications
services,MDG,Private Households
services,MDG,Recycling
transport,MDG,Re-export & Re-import
transport,MDG,Retail Trade
transport,MDG,Transport
transport,MDG,Transport Equipment
transport,MDG,Wholesale Trade
water,MDG,"Electricity, Gas and Water"
wood processing,MDG,Wood and Paper
agriculture,MDV,Agriculture
fishery,MDV,Fishing
food processing,MDV,Food & Beverages
fuel,MDV,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MDV,Electrical and Machinery
manufacturing,MDV,Finacial Intermediation and Business Activities
manufacturing,MDV,Metal Products
manufacturing,MDV,Other Manufacturing
manufacturing,MDV,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MDV,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MDV,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MDV,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MDV,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MDV,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MDV,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MDV,Mining and Quarrying
public services,MDV,Public Administration
research,MDV,"Education, Health and Other Services"
services,MDV,Construction
services,MDV,Hotels and Restraurants
services,MDV,Maintenance and Repair
services,MDV,Others
services,MDV,Post and Telecommunications
services,MDV,Private Households
services,MDV,Recycling
transport,MDV,Re-export & Re-import
transport,MDV,Retail Trade
transport,MDV,Transport
transport,MDV,Transport Equipment
transport,MDV,Wholesale Trade
water,MDV,"Electricity, Gas and Water"
wood processing,MDV,Wood and Paper
alcohol,MEX,Beverage industry and snuff
buildings,MEX,Building
chemicals,MEX,Chemical Industry
crops,MEX,Agriculture
fishery,MEX,"Fishing, hunting and trapping"
food processing,MEX,Food industry
forestry,MEX,Forest planning
forestry,MEX,Timber industry
fuel,MEX,Manufacture of petroleum and coal
fuel,MEX,Petroleum & gas extraction
fuel,MEX,"Power generation, transmission and supply"
livestock,MEX,Livestock
manufacturing,MEX,Apparel Manufacturing
manufacturing,MEX,Basic metal industries
manufacturing,MEX,Fabricated metal products
manufacturing,MEX,"Manufacture of computer, communication, measurement and other equipment, electronic components and accessories"
manufacturing,MEX,Manufacture of electrical generating equipment and electrical appliances and accessories
manufacturing,MEX,Manufacture of furniture and related products
manufacturing,MEX,Manufacture of machinery and equipment
manufacturing,MEX,Manufacture of products made of nonmetallic minerals
manufacturing,MEX,Manufacture of textile inputs
manufacturing,MEX,"Manufacture of textiles, except apparel"
manufacturing,MEX,Other manufacturing industries
manufacturing,MEX,Plastics and rubber
manufacturing,MEX,Specialized construction work
Primary Inputs_Compensation of employees D_1,MEX,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MEX,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MEX,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MEX,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MEX,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MEX,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MEX,Mining of metallic and nonmetallic minerals except oil and gas
public infrastructure,MEX,Inland transport of passengers except by rail
public infrastructure,MEX,Tourist transport
public services,MEX,Government activities
remaining,MEX,"Manufacture of Leather and substitute materials, except apparel"
research,MEX,Educational Services
research,MEX,"Professional, scientific and technical"
services,MEX,Arts and sports services and related services
services,MEX,Associations and organizations
services,MEX,"Bonding companies, insurance and pensions"
services,MEX,Central Banking
services,MEX,Construction of civil engineering work or heavy work
services,MEX,Courier and parcel services
services,MEX,Creation and dissemination of content via Internet only
services,MEX,Credit institutions and financial intermediation-exchange
services,MEX,"Editing of publications and software, except through Internet"
services,MEX,Entertainment services in recreation facilities and other recreational facilities
services,MEX,Exchange trading activities and financial investment
services,MEX,"Film and video industry, and sound industry"
services,MEX,Hospitals
services,MEX,"Internet access providers, search services on the network and information processing services"
services,MEX,Management of companies and enterprises
services,MEX,"Museums, historical sites, botanical gardens and similar"
services,MEX,Other information services
services,MEX,Other social services
services,MEX,Other telecommunications
services,MEX,Outpatient medical services and related services
services,MEX,Personal Services
services,MEX,Postal services
services,MEX,Printing and related industries
services,MEX,Private Households
services,MEX,"Radio and television, except through Internet"
services,MEX,Real Estate Services
services,MEX,"Rental services of trademarks, patents and franchises"
services,MEX,Renting services of personal property
services,MEX,Repair and maintenance services
services,MEX,Services food and beverage preparation
services,MEX,Services related to agriculture and forestry
services,MEX,Services related to mining
services,MEX,Social care homes and health care
services,MEX,Storage Services
services,MEX,Support services businesses
services,MEX,Temporary accommodation services
services,MEX,Waste management and remediation services
transport,MEX,Air transport
transport,MEX,Manufacture of transport equipment
transport,MEX,Pipeline
transport,MEX,Rail transport
transport,MEX,Reexport
transport,MEX,Trade
transport,MEX,Transport-related services
transport,MEX,Trucking
transport,MEX,Water transport
water,MEX,Water and gas supply to the final consumer (through pipeline)
wood processing,MEX,Paper industry
agriculture,MKD,"Products of agriculture, hunting and related services"
chemicals,MKD,"Chemicals, chemical products and man-made fibres"
fishery,MKD,Fish and other fishing products; services incidental of fishing
food processing,MKD,Food products and beverages
food processing,MKD,Tobacco products
forestry,MKD,"Products of forestry, logging and related services"
fuel,MKD,Coal and lignite; peat
fuel,MKD,"Coke, refined petroleum products and nuclear fuels"
fuel,MKD,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying
manufacturing,MKD,Computer and related services
manufacturing,MKD,Electrical machinery and apparatus n_e_c_
manufacturing,MKD,"Fabricated metal products, except machinery and equipment"
manufacturing,MKD,Furniture; other manufactured goods n_e_c_
manufacturing,MKD,Machinery and equipment n_e_c_
manufacturing,MKD,"Medical, precision and optical instruments, watches and clocks"
manufacturing,MKD,"Motor vehicles, trailers and semi-trailers"
manufacturing,MKD,Office machinery and computers
manufacturing,MKD,Other non-metallic mineral products
manufacturing,MKD,Printed matter and recorded media
manufacturing,MKD,"Radio, television and communication equipment and apparatus"
manufacturing,MKD,Rubber and plastic products
manufacturing,MKD,Secondary raw materials
manufacturing,MKD,Textiles
Primary Inputs_Compensation of employees D_1,MKD,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MKD,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MKD,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MKD,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MKD,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MKD,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MKD,Basic metals
primary non-agricultural products,MKD,Metal ores
primary non-agricultural products,MKD,Other mining and quarrying products
primary non-agricultural products,MKD,Uranium and thorium ores
public services,MKD,Public administration and defence services; compulsory social security services
remaining,MKD,Leather and leather products
remaining,MKD,Wearing apparel; furs
research,MKD,Education services
research,MKD,Research and development services
services,MKD,Air transport services
services,MKD,Construction work
services,MKD,"Financial intermediation services, except insurance and pension funding services"
services,MKD,FISIM
services,MKD,Health and social work services
services,MKD,Hotel and restaurant services
services,MKD,"Insurance and pension funding services, except compulsory social security services"
services,MKD,Membership organisation services n_e_c_
services,MKD,Other business services
services,MKD,Other services
services,MKD,Post and telecommunication services
services,MKD,Private households with employed persons
services,MKD,Real estate services
services,MKD,"Recreational, cultural and sporting services"
services,MKD,Renting services of machinery and equipment without operator and of personal and household goods
services,MKD,Services auxiliary to financial intermediation
services,MKD,"Sewage and refuse disposal services, sanitation and similar services"
transport,MKD,Land transport; transport via pipeline services
transport,MKD,Other transport equipment
transport,MKD,Re-export
transport,MKD,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
transport,MKD,Supporting and auxiliary transport services; travel agency services
transport,MKD,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
transport,MKD,Water transport services
transport,MKD,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles"
water,MKD,"Collected and purified water, distribution services of water"
water,MKD,"Electrical energy, gas, steam and hot water"
wood processing,MKD,"Pulp, paper and paper products"
wood processing,MKD,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
agriculture,MLI,Agriculture
fishery,MLI,Fishing
food processing,MLI,Food & Beverages
fuel,MLI,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MLI,Electrical and Machinery
manufacturing,MLI,Finacial Intermediation and Business Activities
manufacturing,MLI,Metal Products
manufacturing,MLI,Other Manufacturing
manufacturing,MLI,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MLI,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MLI,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MLI,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MLI,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MLI,Primary Inputs_Subsidies on production D_39
