"Nr","version","scenario","foodgroup","parent","functional_form_income","functional_form_z","functional_merging_add","z","gdp_scen","pop_scen","z_scen","calibration_type","calibration_start","calibration_end","para_1","para_2","para_3","para_4","para_5","para_6","R2","R2adj","start_1","start_2","start_3","start_4","start_5","start_6"
"108","new","SSP1","others","nonprocessed","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","new","SSP1","others","nonprocessed","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","new","SSP1","others","nonprocessed","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","new","SSP1","staples","nonprocessed","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","new","SSP1","staples","nonprocessed","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","new","SSP1","staples","nonprocessed","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","new","SSP1","staples","nonprocessed","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","new","SSP1","staples","nonprocessed","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","new","SSP1","rootsTubers","staples","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","new","SSP1","rootsTubers","staples","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","new","SSP1","rootsTubers","staples","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","new","SSP1","rootsTubers","staples","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","new","SSP1","rootsTubers","staples","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","new","SSP1","cassav_sp","rootsTubers","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","new","SSP1","cassav_sp","rootsTubers","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","new","SSP1","cassav_sp","rootsTubers","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","new","SSP1","cassav_sp","rootsTubers","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
